sample_name,filename,filename2
HMDP046,HMDP046_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP046_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP047,HMDP047_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP047_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP048,HMDP048_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP048_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP049,HMDP049_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP049_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP050,HMDP050_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP050_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP051,HMDP051_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP051_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP052,HMDP052_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP052_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP053,HMDP053_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP053_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP054,HMDP054_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP054_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP055,HMDP055_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP055_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP056,HMDP056_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP056_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP057,HMDP057_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP057_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP058,HMDP058_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP058_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP059,HMDP059_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP059_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP060,HMDP060_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP060_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP061,HMDP061_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP061_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP062,HMDP062_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP062_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP063,HMDP063_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP063_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP064,HMDP064_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP064_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP065,HMDP065_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP065_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP066,HMDP066_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP066_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP067,HMDP067_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP067_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP068,HMDP068_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP068_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP069,HMDP069_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP069_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP070,HMDP070_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP070_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP071,HMDP071_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP071_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP072,HMDP072_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP072_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP073,HMDP073_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP073_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP074,HMDP074_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP074_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP075,HMDP075_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP075_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP076,HMDP076_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP076_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP077,HMDP077_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP077_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP078,HMDP078_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP078_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP079,HMDP079_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP079_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP080,HMDP080_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP080_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP081,HMDP081_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP081_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP082,HMDP082_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP082_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP083,HMDP083_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP083_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP084,HMDP084_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP084_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP085,HMDP085_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP085_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP086,HMDP086_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP086_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP087,HMDP087_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP087_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP088,HMDP088_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP088_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP089,HMDP089_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP089_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP090,HMDP090_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP090_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP091,HMDP091_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP091_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP092,HMDP092_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP092_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP093,HMDP093_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP093_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP094,HMDP094_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP094_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP095,HMDP095_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP095_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP096,HMDP096_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP096_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP097,HMDP097_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP097_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP098,HMDP098_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP098_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP099,HMDP099_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP099_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP100,HMDP100_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP100_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP101,HMDP101_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP101_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP102,HMDP102_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP102_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP103,HMDP103_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP103_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP104,HMDP104_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP104_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP105,HMDP105_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP105_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP106,HMDP106_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP106_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP107,HMDP107_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP107_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP108,HMDP108_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP108_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP109,HMDP109_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP109_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP110,HMDP110_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP110_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP111,HMDP111_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP111_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP112,HMDP112_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP112_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP113,HMDP113_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP113_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP114,HMDP114_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP114_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP115,HMDP115_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP115_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP116,HMDP116_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP116_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP117,HMDP117_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP117_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP118,HMDP118_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP118_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP119,HMDP119_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP119_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP120,HMDP120_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP120_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP121,HMDP121_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP121_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP122,HMDP122_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP122_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP123,HMDP123_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP123_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP124,HMDP124_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP124_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP125,HMDP125_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP125_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP126,HMDP126_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP126_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP127,HMDP127_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP127_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP128,HMDP128_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP128_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP129,HMDP129_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP129_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP130,HMDP130_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP130_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP131,HMDP131_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP131_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP132,HMDP132_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP132_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP133,HMDP133_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP133_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP134,HMDP134_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP134_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP135,HMDP135_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP135_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP136,HMDP136_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP136_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP137,HMDP137_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP137_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP138,HMDP138_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP138_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP139,HMDP139_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP139_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP140,HMDP140_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP140_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP141,HMDP141_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP141_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP142,HMDP142_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP142_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP143,HMDP143_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP143_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP144,HMDP144_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP144_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP145,HMDP145_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP145_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP146,HMDP146_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP146_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP147,HMDP147_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP147_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP148,HMDP148_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP148_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP149,HMDP149_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP149_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP150,HMDP150_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP150_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP151,HMDP151_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP151_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP152,HMDP152_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP152_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP153,HMDP153_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP153_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP154,HMDP154_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP154_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP155,HMDP155_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP155_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP156,HMDP156_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP156_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP157,HMDP157_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP157_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP158,HMDP158_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP158_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP159,HMDP159_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP159_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP160,HMDP160_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP160_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP161,HMDP161_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP161_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP162,HMDP162_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP162_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP163,HMDP163_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP163_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP164,HMDP164_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP164_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP165,HMDP165_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP165_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP166,HMDP166_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP166_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP167,HMDP167_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP167_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP168,HMDP168_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP168_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP169,HMDP169_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP169_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP170,HMDP170_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP170_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP171,HMDP171_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP171_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP172,HMDP172_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP172_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP174,HMDP174_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP174_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP175,HMDP175_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP175_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP176,HMDP176_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP176_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP177,HMDP177_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP177_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP178,HMDP178_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP178_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP179,HMDP179_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP179_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP180,HMDP180_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP180_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP181,HMDP181_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP181_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP182,HMDP182_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP182_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP183,HMDP183_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP183_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP184,HMDP184_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP184_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP185,HMDP185_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP185_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP186,HMDP186_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP186_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP187,HMDP187_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP187_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP188,HMDP188_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP188_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP189,HMDP189_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP189_R2_trimmed_paired_mouseDNAremoved.fastq.gz
