sample_name,SRA_name,filename,filename2
HMDP032,Mouse32,HMDP032_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP032_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP033,Mouse33,HMDP033_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP033_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP034,Mouse34,HMDP034_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP034_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP035,Mouse35,HMDP035_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP035_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP036,Mouse36,HMDP036_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP036_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP037,Mouse37,HMDP037_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP037_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP038,Mouse38,HMDP038_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP038_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP039,Mouse39,HMDP039_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP039_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP040,Mouse40,HMDP040_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP040_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP041,Mouse41,HMDP041_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP041_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP042,Mouse42,HMDP042_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP042_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP043,Mouse43,HMDP043_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP043_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP044,Mouse44,HMDP044_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP044_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP045,Mouse45,HMDP045_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP045_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP046,Mouse46,HMDP046_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP046_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP047,Mouse47,HMDP047_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP047_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP048,Mouse48,HMDP048_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP048_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP049,Mouse49,HMDP049_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP049_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP050,Mouse50,HMDP050_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP050_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP051,Mouse51,HMDP051_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP051_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP052,Mouse52,HMDP052_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP052_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP053,Mouse53,HMDP053_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP053_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP054,Mouse54,HMDP054_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP054_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP055,Mouse55,HMDP055_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP055_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP056,Mouse56,HMDP056_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP056_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP057,Mouse57,HMDP057_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP057_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP058,Mouse58,HMDP058_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP058_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP059,Mouse59,HMDP059_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP059_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP060,Mouse60,HMDP060_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP060_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP061,Mouse61,HMDP061_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP061_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP062,Mouse62,HMDP062_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP062_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP063,Mouse63,HMDP063_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP063_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP064,Mouse64,HMDP064_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP064_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP065,Mouse65,HMDP065_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP065_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP066,Mouse66,HMDP066_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP066_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP067,Mouse67,HMDP067_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP067_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP068,Mouse68,HMDP068_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP068_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP069,Mouse69,HMDP069_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP069_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP070,Mouse70,HMDP070_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP070_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP071,Mouse71,HMDP071_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP071_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP072,Mouse72,HMDP072_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP072_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP073,Mouse73,HMDP073_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP073_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP074,Mouse74,HMDP074_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP074_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP075,Mouse75,HMDP075_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP075_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP076,Mouse76,HMDP076_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP076_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP077,Mouse77,HMDP077_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP077_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP078,Mouse78,HMDP078_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP078_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP079,Mouse79,HMDP079_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP079_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP080,Mouse80,HMDP080_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP080_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP081,Mouse81,HMDP081_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP081_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP082,Mouse82,HMDP082_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP082_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP083,Mouse83,HMDP083_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP083_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP084,Mouse84,HMDP084_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP084_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP085,Mouse85,HMDP085_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP085_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP086,Mouse86,HMDP086_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP086_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP087,Mouse87,HMDP087_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP087_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP088,Mouse88,HMDP088_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP088_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP089,Mouse89,HMDP089_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP089_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP090,Mouse90,HMDP090_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP090_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP091,Mouse91,HMDP091_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP091_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP092,Mouse92,HMDP092_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP092_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP093,Mouse93,HMDP093_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP093_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP094,Mouse94,HMDP094_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP094_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP095,Mouse95,HMDP095_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP095_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP096,Mouse96,HMDP096_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP096_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP097,Mouse97,HMDP097_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP097_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP098,Mouse98,HMDP098_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP098_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP099,Mouse99,HMDP099_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP099_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP100,Mouse100,HMDP100_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP100_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP101,Mouse101,HMDP101_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP101_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP102,Mouse102,HMDP102_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP102_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP103,Mouse103,HMDP103_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP103_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP104,Mouse104,HMDP104_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP104_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP105,Mouse105,HMDP105_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP105_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP106,Mouse106,HMDP106_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP106_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP107,Mouse107,HMDP107_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP107_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP108,Mouse108,HMDP108_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP108_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP109,Mouse109,HMDP109_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP109_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP110,Mouse110,HMDP110_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP110_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP111,Mouse111,HMDP111_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP111_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP112,Mouse112,HMDP112_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP112_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP113,Mouse113,HMDP113_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP113_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP114,Mouse114,HMDP114_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP114_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP115,Mouse115,HMDP115_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP115_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP116,Mouse116,HMDP116_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP116_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP117,Mouse117,HMDP117_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP117_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP118,Mouse118,HMDP118_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP118_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP119,Mouse119,HMDP119_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP119_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP120,Mouse120,HMDP120_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP120_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP121,Mouse121,HMDP121_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP121_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP122,Mouse122,HMDP122_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP122_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP123,Mouse123,HMDP123_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP123_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP124,Mouse124,HMDP124_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP124_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP125,Mouse125,HMDP125_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP125_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP126,Mouse126,HMDP126_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP126_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP127,Mouse127,HMDP127_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP127_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP128,Mouse128,HMDP128_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP128_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP129,Mouse129,HMDP129_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP129_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP130,Mouse130,HMDP130_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP130_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP131,Mouse131,HMDP131_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP131_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP132,Mouse132,HMDP132_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP132_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP133,Mouse133,HMDP133_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP133_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP134,Mouse134,HMDP134_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP134_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP135,Mouse135,HMDP135_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP135_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP136,Mouse136,HMDP136_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP136_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP137,Mouse137,HMDP137_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP137_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP138,Mouse138,HMDP138_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP138_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP139,Mouse139,HMDP139_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP139_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP140,Mouse140,HMDP140_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP140_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP141,Mouse141,HMDP141_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP141_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP142,Mouse142,HMDP142_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP142_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP143,Mouse143,HMDP143_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP143_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP144,Mouse144,HMDP144_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP144_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP145,Mouse145,HMDP145_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP145_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP146,Mouse146,HMDP146_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP146_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP147,Mouse147,HMDP147_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP147_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP148,Mouse148,HMDP148_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP148_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP149,Mouse149,HMDP149_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP149_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP150,Mouse150,HMDP150_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP150_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP151,Mouse151,HMDP151_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP151_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP152,Mouse152,HMDP152_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP152_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP153,Mouse153,HMDP153_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP153_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP154,Mouse154,HMDP154_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP154_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP155,Mouse155,HMDP155_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP155_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP156,Mouse156,HMDP156_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP156_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP157,Mouse157,HMDP157_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP157_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP158,Mouse158,HMDP158_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP158_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP159,Mouse159,HMDP159_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP159_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP160,Mouse160,HMDP160_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP160_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP161,Mouse161,HMDP161_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP161_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP162,Mouse162,HMDP162_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP162_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP163,Mouse163,HMDP163_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP163_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP164,Mouse164,HMDP164_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP164_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP165,Mouse165,HMDP165_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP165_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP166,Mouse166,HMDP166_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP166_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP167,Mouse167,HMDP167_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP167_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP168,Mouse168,HMDP168_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP168_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP169,Mouse169,HMDP169_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP169_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP170,Mouse170,HMDP170_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP170_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP171,Mouse171,HMDP171_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP171_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP172,Mouse172,HMDP172_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP172_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP174,Mouse174,HMDP174_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP174_R2_trimmed_paired_mouseDNAremoved.fastq.gz
HMDP175,Mouse175,HMDP175_R1_trimmed_paired_mouseDNAremoved.fastq.gz,HMDP175_R2_trimmed_paired_mouseDNAremoved.fastq.gz
